((1334256027718484000, 'onatt', 'ramonberke'), 0.7403560830860534)
((1334615896090927000, 'onatt', 'caltinuzengi'), 0.6287522146292077)
((1324650229728043000, 'onatt', 'orkhan'), 0.7708516242317822)
((1336299489829785600, 'onatt', 'mehmetcandar'), 0.9051373012744711)
((1335559614494957600, 'onatt', 'goktugmandaci'), 0.7943855735266778)
((1324336097254609000, 'onatt', 'orkhan'), 0.8846721963413249)
((1331608580114567200, 'onatt', 'kkaan'), 0.8819363732194503)
((1333356346612203500, 'gkantar', 'eagaev'), 0.3697331972590756)
((1333309789691019300, 'gkantar', 'ramonberke'), 0.493223335297584)
((1327167712993419300, 'gkantar', 'fethidenker'), 0.7417395963564922)
((1326814490562850800, 'gkantar', 'burakbatman'), 0.7826904985888994)
((1336040733694947300, 'gkantar', 'ramonberke'), 0.8767306833407771)
((1334756824545861600, 'gkantar', 'rebahozkoc'), 0.9784658363403562)
((1326269650976469000, 'gkantar', 'tolgaaydin'), 0.8805657412257727)
