(('1309131651750993926_2119', 'onatt', 'tolgaaydin'), 1.0)
(('1309131651750993926_2128', 'onatt', 'alisinal'), 1.0)
(('1330255349975224320_2145', 'onatt', 'dogru'), 1.0)
(('1325731101894078469_2166', 'onatt', 'zubeyir'), nan)
(('1323609623241379840_2180', 'onatt', 'gkantar'), 0.5714285714285714)
(('1322460802780172289_2211', 'onatt', 'burakbatman'), 1.0)
(('1322198855073619970_2222', 'onatt', 'oteryaki'), 1.0)
(('1311294722107899911_2254', 'onatt', 'alpercakar'), 0.5714285714285714)
(('1332947401842319368_965', 'ozgurbeker', 'karakoc'), 0.33333333333333337)
(('1326499918064754688_999', 'ozgurbeker', 'kkaan'), 1.0)
(('1323878981670752256_1030', 'ozgurbeker', 'ramonberke'), 1.0)
(('1323614656162897923_1044', 'ozgurbeker', 'tolgaaydin'), 0.6666666666666667)
(('1323181115721613312_1074', 'ozgurbeker', 'alisinal'), 0.6666666666666667)
(('1322860808402030592_1091', 'ozgurbeker', 'alperenyildiz'), 1.0)
(('1322174297184608256_1132', 'ozgurbeker', 'colakulas'), 1.0)
(('1326873616366137349_1149', 'ozgurbeker', 'orkhan'), 0.5714285714285714)
(('1325400173091164160_1162', 'ozgurbeker', 'emirasal'), 1.0)
(('1323300730132987904_1189', 'ozgurbeker', 'burakbatman'), 0.0)
(('1323199420024844294_1200', 'ozgurbeker', 'tolgaaydin'), 1.0)
(('1322824449180065792_1217', 'ozgurbeker', 'mustafacem'), 1.0)
(('1322575392524423168_1225', 'ozgurbeker', 'mehmetcandar'), 1.0)
(('1325407713988386817_1271', 'ozgurbeker', 'caltinuzengi'), 1.0)
(('1323747668150177796_1279', 'ozgurbeker', 'burakbatman'), 0.6666666666666667)
(('1322869335740817413_1300', 'ozgurbeker', 'mustafacem'), 0.6666666666666667)
(('1322430604042891265_1323', 'ozgurbeker', 'msamil'), 1.0)
(('1318620498813661186_1335', 'ozgurbeker', 'msamil'), 0.33333333333333337)
(('1333184002174410753_1346', 'ozgurbeker', 'karakoc'), 1.0)
(('1329336106039595008_1375', 'ozgurbeker', 'zubeyir'), 0.5714285714285714)
(('1327593864065118210_1388', 'ozgurbeker', 'caltinuzengi'), 1.0)
(('1326871113608073216_1402', 'ozgurbeker', 'tolgaaydin'), 1.0)
(('1324964802737836033_1433', 'ozgurbeker', 'fethidenker'), 0.5714285714285714)
(('1323181115721613312_1477', 'ozgurbeker', 'mustafacem'), -0.19999999999999996)
(('1322916306245488641_1487', 'ozgurbeker', 'kkaan'), 0.6666666666666667)
(('1322477359820406789_1508', 'ozgurbeker', 'tahabayindir'), 1.0)
(('1322196948036784129_1528', 'ozgurbeker', 'colakulas'), 0.5714285714285714)
(('1315534322036879360_1549', 'ozgurbeker', 'mustafacem'), 0.5714285714285714)
