(('Hurriyet1496', 'alperenyildiz', 'goktugmandaci'), 0.8252440725244072)
(('Hurriyet2042', 'alperenyildiz', 'burakbatman'), 0.9413394919168592)
(('Hurriyet3657', 'alperenyildiz', 'colakulas'), 0.8254364089775561)
(('Hurriyet303', 'alperenyildiz', 'caltinuzengi'), 0.5680546923555003)
(('Hurriyet595', 'alperenyildiz', 'kkaan'), 0.9144200118861094)
(('Hurriyet1125', 'alperenyildiz', 'caltinuzengi'), 0.6547702931228861)
(('Hurriyet1046', 'alperenyildiz', 'omersurhay'), 0.8499880895664602)
(('Hurriyet3223', 'alperenyildiz', 'omerkuyucu'), 0.8177133040656615)
(('Hurriyet1225', 'alperenyildiz', 'sananbabayev'), 0.6673344734913267)
(('Hurriyet2274', 'alperenyildiz', 'kkaan'), 0.9231644849174729)
(('Hurriyet2506', 'alperenyildiz', 'colakulas'), 0.8138692142974798)
(('Hurriyet1590', 'alperenyildiz', 'umutonder'), 0.7877052573478681)
(('Hurriyet542', 'alperenyildiz', 'alpercakar'), 0.8164747865244912)
(('Hurriyet3682', 'alperenyildiz', 'eagaev'), 0.6720785350198224)
(('cnnturk711', 'rebahozkoc', 'omersurhay'), 0.9252336448598131)
(('Hurriyet915', 'rebahozkoc', 'burakbatman'), 0.6777321894815367)
(('Hurriyet4306', 'rebahozkoc', 'omerkuyucu'), 0.9542124542124543)
(('Hurriyet2519', 'rebahozkoc', 'colakulas'), 0.923598789270431)
(('Hurriyet130', 'rebahozkoc', 'mustafacem'), 0.6620628856890979)
(('Hurriyet2499', 'rebahozkoc', 'mehmetcandar'), 0.9853289162328442)
(('Hurriyet813', 'rebahozkoc', 'mustafacem'), 0.8763371150729335)
(('Hurriyet413', 'rebahozkoc', 'idilkale'), 0.7527111970712164)
(('Hurriyet1370', 'rebahozkoc', 'goktugmandaci'), 0.9809181415929203)
(('Hurriyet3439', 'rebahozkoc', 'kkaan'), 0.8248295320949918)
(('Hurriyet1305', 'rebahozkoc', 'sananbabayev'), 0.5364341085271318)
(('Hurriyet477', 'rebahozkoc', 'mustafacem'), 0.768043722874136)
(('Hurriyet4172', 'rebahozkoc', 'colakulas'), 0.8738738738738738)
(('Hurriyet1713', 'rebahozkoc', 'omerkuyucu'), 0.9136690647482014)
